Id,SalePrice
1461,124687.81734016434
1462,175175.55808046623
1463,190154.81914731264
1464,189212.12902216843
1465,187082.9022172808
1466,184908.15138346577
1467,168770.3443168934
1468,172232.74575667645
1469,187415.321161849
1470,121904.83264961666
1471,197680.40397290429
1472,98335.52806040364
1473,105899.00242283051
1474,161048.5792746952
1475,127904.66057684827
1476,284084.18536593294
1477,226450.89573393852
1478,248723.152048808
1479,245349.9512750198
1480,345969.02828498173
1481,279697.5119411092
1482,197655.19286526146
1483,182341.17956333654
1484,165959.12769369152
1485,159872.111737472
1486,196285.88458740353
1487,288368.5959681277
1488,224474.83492114005
1489,187937.33934217537
1490,205747.42392842128
1491,191599.85293405261
1492,113643.74626605466
1493,185185.15793638115
1494,268749.4746531268
1495,270713.78426640434
1496,216166.9586257578
1497,185944.44831071224
1498,142319.08934519108
1499,141382.9219770793
1500,142248.14894310958
1501,173341.4198860973
1502,142545.56956046083
1503,236897.32715812023
1504,218897.19374796798
1505,213685.18080962577
1506,223813.380079875
1507,256621.06186992864
1508,221276.12188912954
1509,174186.62610171837
1510,164643.6809796728
1511,163975.8824055428
1512,192909.2131166492
1513,168710.77730429065
1514,209672.50759055122
1515,228289.01018781643
1516,172400.54012254835
1517,159175.19371963415
1518,173507.98908584425
1519,216575.79326416188
1520,149460.02325119378
1521,159602.87745897382
1522,188233.37931347158
1523,133851.12143447305
1524,127732.14570011292
1525,130204.4787625967
1526,133909.7458408691
1527,105978.70364639594
1528,137821.85590088184
1529,153131.89915884967
1530,183908.28783160256
1531,161660.13549576653
1532,116806.78661894523
1533,165058.7363822044
1534,129342.79349637612
1535,180384.46027415848
1536,136996.9627381779
1537,96765.04029777956
1538,183499.27631598385
1539,214467.96770754855
1540,178611.67685320714
1541,162191.72029616157
1542,169822.54082385922
1543,227212.44725113033
1544,95011.66713508875
1545,116539.09944405865
1546,123356.01998654558
1547,154959.59719306027
1548,150104.0879507169
1549,112303.55084714621
1550,162039.87899490522
1551,134202.13228860914
1552,184539.0309141892
1553,160344.06771718242
1554,126875.47755068405
1555,201558.68103848264
1556,121116.7553605393
1557,162834.75519857262
1558,101546.36461808141
1559,161058.25882090448
1560,170652.21940193977
1561,210345.3251467514
1562,120333.935790664
1563,121083.4549109064
1564,180012.81705869298
1565,159393.15325974475
1566,216097.83608369285
1567,91667.71372562594
1568,231195.36221194427
1569,174037.3224843635
1570,125540.71520986596
1571,152597.25722324976
1572,156736.5517538938
1573,227442.49010236282
1574,152934.15617854625
1575,209573.25731331157
1576,212097.12828827128
1577,186438.65659608293
1578,157342.3559613446
1579,138173.0577358905
1580,195781.47865358205
1581,144319.52679509541
1582,123147.77727823448
1583,280061.0768425432
1584,233613.9998341688
1585,126989.55198233032
1586,68074.23796274925
1587,101310.67042839043
1588,162049.1209302972
1589,118776.58278767567
1590,138022.5208758846
1591,114765.23550555644
1592,146112.56633132987
1593,113098.1912530679
1594,184632.98366212903
1595,157456.86940001196
1596,250157.20444963186
1597,209464.6530344676
1598,180550.2429894916
1599,169390.01483896063
1600,177319.8500272691
1601,78604.17006026005
1602,117850.09529772098
1603,108953.34988197591
1604,243683.80802490684
1605,234131.05653724208
1606,175348.67923889638
1607,223865.88006655042
1608,199090.80454712614
1609,183620.89751526408
1610,152488.51108153438
1611,160530.3469642786
1612,178062.1804356966
1613,178814.24675289713
1614,123792.01916114186
1615,104608.97557507684
1616,100419.28337523407
1617,103321.10199472647
1618,121210.14374446117
1619,121458.25283800658
1620,213555.53380742666
1621,141472.57067320816
1622,165623.43673676476
1623,254619.50744452942
1624,219241.25867529988
1625,126686.1071549485
1626,189026.4815019062
1627,193658.13794516062
1628,256076.32166161377
1629,168488.1127171901
1630,310059.738188877
1631,211251.44317607736
1632,238273.61936396448
1633,155989.54837816523
1634,189443.1103501434
1635,177082.80163131878
1636,160576.02698527172
1637,206921.56110562338
1638,219513.34366142112
1639,204514.307149596
1640,268481.53754851816
1641,203055.73872504706
1642,216215.53879135204
1643,219650.18208999137
1644,215080.4267455445
1645,209700.53695063488
1646,157949.08232679177
1647,168167.9657224713
1648,151738.28548540382
1649,142912.0647214369
1650,119946.72333026485
1651,119087.98970093159
1652,98468.86481170973
1653,99606.4147691621
1654,162507.92294281832
1655,153461.99651214713
1656,158863.98089658516
1657,162431.9309903113
